disease_name,metric,flag_value,row_count
Influenza (H7N9 avian influenza),is_rodent,FALSE,545
Influenza (H7N9 avian influenza),is_rodent,,11
Lassa fever,candidate_rows,,21
Lassa fever,is_bat,FALSE,20
Lassa fever,is_bat,,1
Lassa fever,is_bird,FALSE,20
Lassa fever,is_bird,,1
Lassa fever,is_human,TRUE,1
Lassa fever,is_human,FALSE,20
Lassa fever,is_livestock_like,TRUE,1
Lassa fever,is_livestock_like,FALSE,20
Lassa fever,is_rodent,TRUE,16
Lassa fever,is_rodent,FALSE,4
Lassa fever,is_rodent,,1
Marburg virus disease,candidate_rows,,12
Marburg virus disease,is_bat,TRUE,6
Marburg virus disease,is_bat,FALSE,6
Marburg virus disease,is_bird,FALSE,12
Marburg virus disease,is_human,TRUE,1
Marburg virus disease,is_human,FALSE,11
Marburg virus disease,is_livestock_like,FALSE,12
Marburg virus disease,is_rodent,TRUE,3
Marburg virus disease,is_rodent,FALSE,9
Mpox (Monkeypox),candidate_rows,,39
Mpox (Monkeypox),is_bat,FALSE,39
Mpox (Monkeypox),is_bird,FALSE,39
Mpox (Monkeypox),is_human,TRUE,1
Mpox (Monkeypox),is_human,FALSE,38
Mpox (Monkeypox),is_livestock_like,FALSE,39
Mpox (Monkeypox),is_rodent,TRUE,11
Mpox (Monkeypox),is_rodent,FALSE,28
Nipah virus disease,candidate_rows,,34
Nipah virus disease,is_bat,TRUE,23
Nipah virus disease,is_bat,FALSE,10
Nipah virus disease,is_bat,,1
Nipah virus disease,is_bird,FALSE,33
Nipah virus disease,is_bird,,1
Nipah virus disease,is_human,TRUE,1
Nipah virus disease,is_human,FALSE,33
Nipah virus disease,is_livestock_like,TRUE,5
Nipah virus disease,is_livestock_like,FALSE,29
Nipah virus disease,is_rodent,TRUE,1
Nipah virus disease,is_rodent,FALSE,32
Nipah virus disease,is_rodent,,1
Oropouche fever,candidate_rows,,8
Oropouche fever,is_bat,TRUE,1
Oropouche fever,is_bat,FALSE,5
Oropouche fever,is_bat,,2
Oropouche fever,is_bird,FALSE,6
Oropouche fever,is_bird,,2
Oropouche fever,is_human,TRUE,1
Oropouche fever,is_human,FALSE,7
Oropouche fever,is_livestock_like,TRUE,1
Oropouche fever,is_livestock_like,FALSE,7
Oropouche fever,is_rodent,FALSE,6
Oropouche fever,is_rodent,,2
Plague,candidate_rows,,52
Plague,is_bat,FALSE,52
Plague,is_bird,FALSE,52
Plague,is_human,TRUE,1
Plague,is_human,FALSE,51
Plague,is_livestock_like,TRUE,1
Plague,is_livestock_like,FALSE,51
Plague,is_rodent,TRUE,26
Plague,is_rodent,FALSE,26
Rift Valley fever,candidate_rows,,41
