"X","Or_name","IUCN_Present","IUCN_id","IUCN_name","IUCN_Category","IUCN_N_syn","IUCN_syn","IUCN_Phylum","IUCN_Class","IUCN_Order","IUCN_Family","ITIS_Present","ITIS_is_valid","ITIS_id","ITIS_name","ITIS_Phylum","ITIS_N_syn","ITIS_syn","ITIS_Class","ITIS_Order","ITIS_Family","GBIF_Present","GBIF_id","GBIF_name","GBIF_N_syn","GBIF_syn","GBIF_Phylum","GBIF_Class","GBIF_Order","GBIF_Family"
1,"Chlamydotis undulata","Yes",22728245,"Chlamydotis undulata","VU",NA,NA,"CHORDATA","AVES","OTIDIFORMES","OTIDIDAE",TRUE,TRUE,"176432","Chlamydotis undulata","CHORDATA",1,"Psophia undulata","AVES","OTIDIFORMES","OTIDIDAE",TRUE,NA,"Chlamydotis undulata",1,"Chlamydotis undulata","CHORDATA","AVES","OTIDIFORMES","OTIDIDAE"
1,"Chlidonias hybrida","Yes",22694764,"Chlidonias hybrida","LR/lc",4,"Chlidonias hybridus;Chlidonias hybridus;Chlidonias hybridus;Chlidonias hybridus","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",TRUE,TRUE,"726051","Chlidonias hybrida","CHORDATA",1,"Chlidonias hybridus","AVES","CHARADRIIFORMES","LARIDAE",TRUE,NA,"Chlidonias hybrida",1,"Chlidonias hybrida","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE"
1,"Chlidonias leucopterus","Yes",22694782,"Chlidonias leucopterus","LR/lc",NA,NA,"CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",TRUE,TRUE,"176958","Chlidonias leucopterus","CHORDATA",2,"Chilidonias leucopterus;Sterna leucoptera","AVES","CHARADRIIFORMES","LARIDAE",TRUE,"NA-2481120","Chlidonias leucopterus-Chilidonias leucopterus",2,"Chlidonias leucopterus;Chilidonias leucopterus","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE"
1,"Chloephaga picta","Yes",22679975,"Chloephaga picta","LR/lc",NA,NA,"CHORDATA","AVES","ANSERIFORMES","ANATIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Chloephaga picta",1,"Chloephaga picta","CHORDATA","AVES","ANSERIFORMES","ANATIDAE"
1,"Chloris chloris","Yes",22720330,"Chloris chloris","LR/lc",2,"Carduelis chloris;Chloris chloris","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Chloris chloris",1,"Chloris chloris","TRACHEOPHYTA-CHORDATA","LILIOPSIDA-AVES","POALES-PASSERIFORMES","POACEAE-FRINGILLIDAE"
1,"Chlorocebus aethiops","Yes",253498283,"Chlorocebus aethiops","LC",11,"Simia aethiops;Cercopithecus aethiops;Cercopithecus cailliaudi;Cercopithecus canoviridis;Cercopithecus cinereoviridis;Cercopithecus griseoviridis;Cercopithecus griseus;Cercopithecus toldti;Lasiopyga weidholzi;Simia engytitthia;Simia subviridis","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",TRUE,TRUE,"552515","Chlorocebus aethiops","CHORDATA",12,"Cercopithecus calliaudi;Cercopithecus cano-viridis;Cercopithecus cinereo-viridis;Simia engytithia;Cercopithecus griseo-viridis;Cercopithecus griseus;Simia subviridis;Cercopithecus toldti;Lasiopyga weidholzi;Cercopithecus canoviridis;Cercopithecus cinereoviridis;Cercopithecus griseoviridis","MAMMALIA","PRIMATES","CERCOPITHECIDAE",TRUE,NA,"Chlorocebus aethiops",1,"Chlorocebus aethiops","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE"
1,"Chlorocebus sabaeus","Yes",136265,"Chlorocebus sabaeus","LC",2,"Cercopithecus sabaeus;Simia sabaea","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",TRUE,TRUE,"944215","Chlorocebus sabaeus","CHORDATA",3,"Cercopithecus callitrichus;Cercopithecus chrysurus;Cercopithecus werneri","MAMMALIA","PRIMATES","CERCOPITHECIDAE",TRUE,NA,"Chlorocebus sabaeus",1,"Chlorocebus sabaeus","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE"
1,"Chroicocephalus brunnicephalus","Yes",22694384,"Larus brunnicephalus","LR/lc",NA,NA,"CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",TRUE,TRUE,"824033","Chroicocephalus brunnicephalus","CHORDATA",1,"Larus brunnicephalus","AVES","CHARADRIIFORMES","LARIDAE",TRUE,NA,"Chroicocephalus brunnicephalus",1,"Chroicocephalus brunnicephalus","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE"
1,"Chroicocephalus genei","Yes",22694428,"Larus genei","LR/lc",NA,NA,"CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",TRUE,TRUE,"824036","Chroicocephalus genei","CHORDATA",1,"Larus genei","AVES","CHARADRIIFORMES","LARIDAE",TRUE,NA,"Chroicocephalus genei",1,"Chroicocephalus genei","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE"
1,"Chroicocephalus maculipennis","Yes",22694417,"Larus maculipennis","LR/lc",NA,NA,"CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",TRUE,TRUE,"824038","Chroicocephalus maculipennis","CHORDATA",1,"Larus maculipennis","AVES","CHARADRIIFORMES","LARIDAE",TRUE,NA,"Chroicocephalus maculipennis",1,"Chroicocephalus maculipennis","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE"
1,"Chroicocephalus philadelphia","Yes",22694432,"Larus philadelphia","LR/lc",NA,NA,"CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",TRUE,TRUE,"824040","Chroicocephalus philadelphia","CHORDATA",2,"Larus philadelphia;Sterna philadelphia","AVES","CHARADRIIFORMES","LARIDAE",TRUE,NA,"Chroicocephalus philadelphia",1,"Chroicocephalus philadelphia","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE"
1,"Chroicocephalus ridibundus","Yes",22694420,"Larus ridibundus","LR/lc",1,"Chroicocephalus ridibundus","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",TRUE,TRUE,"824041","Chroicocephalus ridibundus","CHORDATA",1,"Larus ridibundus","AVES","CHARADRIIFORMES","LARIDAE",TRUE,NA,"Chroicocephalus ridibundus",1,"Chroicocephalus ridibundus","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE"
