host_species,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,diseases,has_pilot_disease,pilot_diseases,has_pilot_include_disease,pilot_include_diseases,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation
Conopophaga aurita,Chordata,Aves,Passeriformes,Conopophagidae,FALSE,Saint Louis encephalitis,FALSE,,FALSE,,0,2,1,0,3
Contopus sordidulus,Chordata,Aves,Passeriformes,Tyrannidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Contopus virens,Chordata,Aves,Passeriformes,Tyrannidae,FALSE,Brazilian spotted fever,FALSE,,FALSE,,0,0,0,1,0
Copsychus saularis,Chordata,Aves,Passeriformes,Muscicapidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Coracopsis vasa,Chordata,Aves,Psittaciformes,Psittacidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Coragyps atratus,Chordata,Aves,Cathartiformes,Cathartidae,TRUE,Everglades virus disease; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Venezuelan equine encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Venezuelan equine encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,1,2,4
Corvus brachyrhynchos,Chordata,Aves,Passeriformes,Corvidae,TRUE,Brazilian spotted fever; Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis; Q fever; Venezuelan equine encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis; Venezuelan equine encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,5,2,4,7
Corvus caurinus,Chordata,Aves,Passeriformes,Corvidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Corvus corax,Chordata,Aves,Passeriformes,Corvidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tularemia; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,4,0,1,4
Corvus cornix,Chordata,Aves,Passeriformes,Corvidae,TRUE,Tick-borne encephalitis; West Nile fever,TRUE,Tick-borne encephalitis; West Nile fever,TRUE,Tick-borne encephalitis; West Nile fever,0,3,1,0,4
Corvus corone,Chordata,Aves,Passeriformes,Corvidae,TRUE,Q fever; West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,2,1,1,3
Corvus frugilegus,Chordata,Aves,Passeriformes,Corvidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,6,1,0,7
Corvus macrorhynchos,Chordata,Aves,Passeriformes,Corvidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Corvus ossifragus,Chordata,Aves,Passeriformes,Corvidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,1,0,4
Corvus splendens,Chordata,Aves,Passeriformes,Corvidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
