species_key,species,model_file_count,model_paths,source_labels,has_top_level_model,has_nested_model,nested_contexts,has_ensemble_mean,has_tss_clipped,prediction_statuses
aedes vexans,Aedes vexans,1,vectors/Aedes_vexans/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_vexans,TRUE,TRUE,completed
aedes vexans meigen,Aedes vexans meigen,1,vectors/Aedes_vexans_meigen/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_vexans_meigen,TRUE,TRUE,completed
aedes vigilax,Aedes vigilax,1,vectors/Aedes_vigilax/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_vigilax,TRUE,TRUE,completed
aedes vittatus,Aedes vittatus,1,vectors/Aedes_vittatus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_vittatus,TRUE,TRUE,completed
aepyceros melampus,Aepyceros melampus,1,hosts/Aepyceros_melampus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Aepyceros_melampus,TRUE,TRUE,completed
ailurus fulgens,Ailurus fulgens,1,hosts/Ailurus_fulgens/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Ailurus_fulgens,TRUE,TRUE,completed
akodon azarae,Akodon azarae,1,hosts/Akodon_azarae/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Akodon_azarae,TRUE,TRUE,completed
alcelaphus buselaphus,Alcelaphus buselaphus,1,hosts/Alcelaphus_buselaphus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Alcelaphus_buselaphus,TRUE,TRUE,completed
alces alces,Alces alces,1,hosts/Alces_alces/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Alces_alces,TRUE,TRUE,completed
alexandromys oeconomus,Alexandromys oeconomus,1,hosts/Alexandromys_oeconomus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Alexandromys_oeconomus,TRUE,TRUE,completed
allactaga sibirica,Allactaga sibirica,1,hosts/Allactaga_sibirica/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Allactaga_sibirica,TRUE,TRUE,completed
alouatta belzebul,Alouatta belzebul,1,hosts/Alouatta_belzebul/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Alouatta_belzebul,TRUE,TRUE,completed
alouatta caraya,Alouatta caraya,1,hosts/Alouatta_caraya/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Alouatta_caraya,TRUE,TRUE,completed
alouatta guariba,Alouatta guariba,1,hosts/Alouatta_guariba/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Alouatta_guariba,TRUE,TRUE,completed
alouatta pigra,Alouatta pigra,1,hosts/Alouatta_pigra/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Alouatta_pigra,TRUE,TRUE,completed
alouatta sara,Alouatta sara,1,hosts/Alouatta_sara/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Alouatta_sara,TRUE,TRUE,completed
alouatta seniculus,Alouatta seniculus,1,hosts/Alouatta_seniculus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Alouatta_seniculus,TRUE,TRUE,completed
amphibolurus muricatus,Amphibolurus muricatus,1,hosts/Amphibolurus_muricatus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Amphibolurus_muricatus,TRUE,TRUE,completed
anastoechus hessei,Anastoechus hessei,1,hosts/Anastoechus_hessei/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Anastoechus_hessei,TRUE,TRUE,completed
anolis carolinensis,Anolis carolinensis,1,hosts/Anolis_carolinensis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Anolis_carolinensis,TRUE,TRUE,completed
anopheles atroparvus,Anopheles atroparvus,1,vectors/Anopheles_atroparvus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_atroparvus,TRUE,TRUE,completed
anopheles coustani,Anopheles coustani,1,vectors/Anopheles_coustani/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_coustani,TRUE,TRUE,completed
anopheles freeborni,Anopheles freeborni,1,vectors/Anopheles_freeborni/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_freeborni,TRUE,TRUE,completed
anopheles funestus,Anopheles funestus,1,vectors/Anopheles_funestus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_funestus,TRUE,TRUE,completed
anopheles gambiae,Anopheles gambiae,1,vectors/Anopheles_gambiae/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_gambiae,TRUE,TRUE,completed
anopheles gambiae arabiensis,Anopheles gambiae arabiensis,1,vectors/Anopheles_gambiae_arabiensis/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_gambiae_arabiensis,TRUE,TRUE,completed
anopheles gambiae s l,Anopheles gambiae s l,1,vectors/Anopheles_gambiae_s_l/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_gambiae_s_l,TRUE,TRUE,completed
anopheles gambiae sensu lato,Anopheles gambiae sensu lato,1,vectors/Anopheles_gambiae_sensu_lato/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_gambiae_sensu_lato,TRUE,TRUE,completed
anopheles pharoensis,Anopheles pharoensis,1,vectors/Anopheles_pharoensis/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_pharoensis,TRUE,TRUE,completed
anopheles plumbeus,Anopheles plumbeus,1,vectors/Anopheles_plumbeus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_plumbeus,TRUE,TRUE,completed
anopheles quadrimaculatus,Anopheles quadrimaculatus,1,vectors/Anopheles_quadrimaculatus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_quadrimaculatus,TRUE,TRUE,completed
anopheles rufipes,Anopheles rufipes,1,vectors/Anopheles_rufipes/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_rufipes,TRUE,TRUE,completed
anopheles spp,Anopheles spp,1,vectors/Anopheles_spp/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_spp,TRUE,TRUE,completed
anopheles squamosus,Anopheles squamosus,1,vectors/Anopheles_squamosus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_squamosus,TRUE,TRUE,completed
anopheles ziemanni,Anopheles ziemanni,1,vectors/Anopheles_ziemanni/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Anopheles_ziemanni,TRUE,TRUE,completed
anoura geoffroyi,Anoura geoffroyi,1,hosts/Anoura_geoffroyi/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Anoura_geoffroyi,TRUE,TRUE,completed
anourosorex squamipes,Anourosorex squamipes,1,hosts/Anourosorex_squamipes/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Anourosorex_squamipes,TRUE,TRUE,completed
antaresia childreni,Antaresia childreni,1,hosts/Antaresia_childreni/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Antaresia_childreni,TRUE,TRUE,completed
antaresia maculosa,Antaresia maculosa,1,hosts/Antaresia_maculosa/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Antaresia_maculosa,TRUE,TRUE,completed
antidorcas marsupialis,Antidorcas marsupialis,1,hosts/Antidorcas_marsupialis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Antidorcas_marsupialis,TRUE,TRUE,completed
aotus azarae,Aotus azarae,1,hosts/Aotus_azarae/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Aotus_azarae,TRUE,TRUE,completed
apodemus agrarius,Apodemus agrarius,1,hosts/Apodemus_agrarius/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Apodemus_agrarius,TRUE,TRUE,completed
apodemus flavicollis,Apodemus flavicollis,1,hosts/Apodemus_flavicollis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Apodemus_flavicollis,TRUE,TRUE,completed
