species_name,species_safe,cleaned_path,n_rows,flag_taxonomy_review,multi_high_taxonomy_levels,multi_any_taxonomy_levels,non_animalia,non_chordata,non_mammalia,species_value_mismatch,mismatched_species_values,manifest_taxonomy_mismatch_levels,n_unique_kingdom,n_unique_phylum,n_unique_class,n_unique_order,n_unique_family,n_unique_genus,n_unique_species,values_kingdom,values_phylum,values_class,values_order,values_family,values_genus,values_species
Globicephala melas,Globicephala_melas,sdms/runs/host_sdm_push/occurrences/Globicephala_melas/gbif-download/cleaned/Globicephala_melas_cleaned.csv,681,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Globicephala,Globicephala melas
Hemiechinus auritus,Hemiechinus_auritus,sdms/runs/host_sdm_push/occurrences/Hemiechinus_auritus/gbif-download/cleaned/Hemiechinus_auritus_cleaned.csv,1156,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Hemiechinus,Hemiechinus auritus
Lagenorhynchus acutus,Lagenorhynchus_acutus,sdms/runs/host_sdm_push/occurrences/Lagenorhynchus_acutus/gbif-download/cleaned/Lagenorhynchus_acutus_cleaned.csv,5078,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus,Lagenorhynchus acutus
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,sdms/runs/host_sdm_push/occurrences/Leontopithecus_chrysomelas/gbif-download/cleaned/Leontopithecus_chrysomelas_cleaned.csv,30,TRUE,,,FALSE,FALSE,FALSE,FALSE,,family,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,Leontopithecus chrysomelas
Mops pumilus,Mops_pumilus,sdms/runs/host_sdm_push/occurrences/Mops_pumilus/gbif-download/cleaned/Mops_pumilus_cleaned.csv,48,TRUE,,,FALSE,FALSE,FALSE,TRUE,Chaerephon pusillus,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Chaerephon,Chaerephon pusillus
Peromyscus sonoriensis,Peromyscus_sonoriensis,sdms/runs/host_sdm_push/occurrences/Peromyscus_sonoriensis/gbif-download/cleaned/Peromyscus_sonoriensis_cleaned.csv,2039,TRUE,,,FALSE,FALSE,FALSE,TRUE,Peromyscus maniculatus,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus
Phoca groenlandica,Phoca_groenlandica,sdms/runs/host_sdm_push/occurrences/Phoca_groenlandica/gbif-download/cleaned/Phoca_groenlandica_cleaned.csv,5,TRUE,,,FALSE,FALSE,FALSE,TRUE,Pagophilus groenlandicus,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pagophilus,Pagophilus groenlandicus
Phocoena spinipinnis,Phocoena_spinipinnis,sdms/runs/host_sdm_push/occurrences/Phocoena_spinipinnis/gbif-download/cleaned/Phocoena_spinipinnis_cleaned.csv,64,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,Phocoena spinipinnis
Phocoenoides dalli,Phocoenoides_dalli,sdms/runs/host_sdm_push/occurrences/Phocoenoides_dalli/gbif-download/cleaned/Phocoenoides_dalli_cleaned.csv,169,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoenoides,Phocoenoides dalli
Talpa romana,Talpa_romana,sdms/runs/host_sdm_push/occurrences/Talpa_romana/gbif-download/cleaned/Talpa_romana_cleaned.csv,10,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Talpa,Talpa romana
Tragelaphus oryx,Tragelaphus_oryx,sdms/runs/host_sdm_push/occurrences/Tragelaphus_oryx/gbif-download/cleaned/Tragelaphus_oryx_cleaned.csv,5314,TRUE,,,FALSE,FALSE,FALSE,TRUE,Taurotragus oryx,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus,Taurotragus oryx
Tursiops truncatus,Tursiops_truncatus,sdms/runs/host_sdm_push/occurrences/Tursiops_truncatus/gbif-download/cleaned/Tursiops_truncatus_cleaned.csv,23089,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,Tursiops truncatus
Acomys cahirinus,Acomys_cahirinus,sdms/runs/host_sdm_push/occurrences/Acomys_cahirinus/gbif-download/cleaned/Acomys_cahirinus_cleaned.csv,30,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys cahirinus
Acomys dimidiatus,Acomys_dimidiatus,sdms/runs/host_sdm_push/occurrences/Acomys_dimidiatus/gbif-download/cleaned/Acomys_dimidiatus_cleaned.csv,676,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys dimidiatus
Aepyceros melampus,Aepyceros_melampus,sdms/runs/host_sdm_push/occurrences/Aepyceros_melampus/gbif-download/cleaned/Aepyceros_melampus_cleaned.csv,17674,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus
Aethomys kaiseri,Aethomys_kaiseri,sdms/runs/host_sdm_push/occurrences/Aethomys_kaiseri/gbif-download/cleaned/Aethomys_kaiseri_cleaned.csv,35,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Aethomys,Aethomys kaiseri
Alcelaphus buselaphus,Alcelaphus_buselaphus,sdms/runs/host_sdm_push/occurrences/Alcelaphus_buselaphus/gbif-download/cleaned/Alcelaphus_buselaphus_cleaned.csv,3615,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus
Alticola argentatus,Alticola_argentatus,sdms/runs/host_sdm_push/occurrences/Alticola_argentatus/gbif-download/cleaned/Alticola_argentatus_cleaned.csv,20,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Alticola,Alticola argentatus
Anoura geoffroyi,Anoura_geoffroyi,sdms/runs/host_sdm_push/occurrences/Anoura_geoffroyi/gbif-download/cleaned/Anoura_geoffroyi_cleaned.csv,858,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura,Anoura geoffroyi
Apodemus chejuensis,Apodemus_chejuensis,sdms/runs/host_sdm_push/occurrences/Apodemus_chejuensis/gbif-download/cleaned/Apodemus_chejuensis_cleaned.csv,25,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus chejuensis
Apodemus pallipes,Apodemus_pallipes,sdms/runs/host_sdm_push/occurrences/Apodemus_pallipes/gbif-download/cleaned/Apodemus_pallipes_cleaned.csv,11,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus pallipes
