species_name,species_safe,cleaned_path,n_rows,flag_taxonomy_review,multi_high_taxonomy_levels,multi_any_taxonomy_levels,non_animalia,non_chordata,non_mammalia,species_value_mismatch,mismatched_species_values,manifest_taxonomy_mismatch_levels,n_unique_kingdom,n_unique_phylum,n_unique_class,n_unique_order,n_unique_family,n_unique_genus,n_unique_species,values_kingdom,values_phylum,values_class,values_order,values_family,values_genus,values_species
Epomophorus gambianus,Epomophorus_gambianus,sdms/runs/host_sdm_push/occurrences/Epomophorus_gambianus/gbif-download/cleaned/Epomophorus_gambianus_cleaned.csv,1650,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus
Euoticus elegantulus,Euoticus_elegantulus,sdms/runs/host_sdm_push/occurrences/Euoticus_elegantulus/gbif-download/cleaned/Euoticus_elegantulus_cleaned.csv,16,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Galagidae,Euoticus,Euoticus elegantulus
Galago senegalensis,Galago_senegalensis,sdms/runs/host_sdm_push/occurrences/Galago_senegalensis/gbif-download/cleaned/Galago_senegalensis_cleaned.csv,218,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Galagidae,Galago,Galago senegalensis
Galagoides demidoff,Galagoides_demidoff,sdms/runs/host_sdm_push/occurrences/Galagoides_demidoff/gbif-download/cleaned/Galagoides_demidoff_cleaned.csv,58,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Galagidae,Galagoides,Galagoides demidoff
Galictis cuja,Galictis_cuja,sdms/runs/host_sdm_push/occurrences/Galictis_cuja/gbif-download/cleaned/Galictis_cuja_cleaned.csv,796,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Galictis,Galictis cuja
Gerbilliscus brantsii,Gerbilliscus_brantsii,sdms/runs/host_sdm_push/occurrences/Gerbilliscus_brantsii/gbif-download/cleaned/Gerbilliscus_brantsii_cleaned.csv,11,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbilliscus,Gerbilliscus brantsii
Gerbilliscus leucogaster,Gerbilliscus_leucogaster,sdms/runs/host_sdm_push/occurrences/Gerbilliscus_leucogaster/gbif-download/cleaned/Gerbilliscus_leucogaster_cleaned.csv,131,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbilliscus,Gerbilliscus leucogaster
Gerbillus pyramidum,Gerbillus_pyramidum,sdms/runs/host_sdm_push/occurrences/Gerbillus_pyramidum/gbif-download/cleaned/Gerbillus_pyramidum_cleaned.csv,25,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,Gerbillus pyramidum
Giraffa camelopardalis,Giraffa_camelopardalis,sdms/runs/host_sdm_push/occurrences/Giraffa_camelopardalis/gbif-download/cleaned/Giraffa_camelopardalis_cleaned.csv,2811,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis
Giraffa giraffa,Giraffa_giraffa,sdms/runs/host_sdm_push/occurrences/Giraffa_giraffa/gbif-download/cleaned/Giraffa_giraffa_cleaned.csv,10908,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa giraffa
Glossophaga mutica,Glossophaga_mutica,sdms/runs/host_sdm_push/occurrences/Glossophaga_mutica/gbif-download/cleaned/Glossophaga_mutica_cleaned.csv,904,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga mutica
Hippotragus niger,Hippotragus_niger,sdms/runs/host_sdm_push/occurrences/Hippotragus_niger/gbif-download/cleaned/Hippotragus_niger_cleaned.csv,1624,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,Hippotragus niger
Hystrix africaeaustralis,Hystrix_africaeaustralis,sdms/runs/host_sdm_push/occurrences/Hystrix_africaeaustralis/gbif-download/cleaned/Hystrix_africaeaustralis_cleaned.csv,4612,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix africaeaustralis
Kobus ellipsiprymnus,Kobus_ellipsiprymnus,sdms/runs/host_sdm_push/occurrences/Kobus_ellipsiprymnus/gbif-download/cleaned/Kobus_ellipsiprymnus_cleaned.csv,11381,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus
Lemur catta,Lemur_catta,sdms/runs/host_sdm_push/occurrences/Lemur_catta/gbif-download/cleaned/Lemur_catta_cleaned.csv,708,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Lemuridae,Lemur,Lemur catta
Lepilemur edwardsi,Lepilemur_edwardsi,sdms/runs/host_sdm_push/occurrences/Lepilemur_edwardsi/gbif-download/cleaned/Lepilemur_edwardsi_cleaned.csv,49,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Lepilemuridae,Lepilemur,Lepilemur edwardsi
Lepilemur mustelinus,Lepilemur_mustelinus,sdms/runs/host_sdm_push/occurrences/Lepilemur_mustelinus/gbif-download/cleaned/Lepilemur_mustelinus_cleaned.csv,18,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Lepilemuridae,Lepilemur,Lepilemur mustelinus
Lepus capensis,Lepus_capensis,sdms/runs/host_sdm_push/occurrences/Lepus_capensis/gbif-download/cleaned/Lepus_capensis_cleaned.csv,30672,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis
Litocranius walleri,Litocranius_walleri,sdms/runs/host_sdm_push/occurrences/Litocranius_walleri/gbif-download/cleaned/Litocranius_walleri_cleaned.csv,963,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Litocranius,Litocranius walleri
Lobodon carcinophaga,Lobodon_carcinophaga,sdms/runs/host_sdm_push/occurrences/Lobodon_carcinophaga/gbif-download/cleaned/Lobodon_carcinophaga_cleaned.csv,1932,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon carcinophaga
Lophocebus albigena,Lophocebus_albigena,sdms/runs/host_sdm_push/occurrences/Lophocebus_albigena/gbif-download/cleaned/Lophocebus_albigena_cleaned.csv,347,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Lophocebus,Lophocebus albigena
Loxodonta africana,Loxodonta_africana,sdms/runs/host_sdm_push/occurrences/Loxodonta_africana/gbif-download/cleaned/Loxodonta_africana_cleaned.csv,22693,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana
Lyroderma lyra,Lyroderma_lyra,sdms/runs/host_sdm_push/occurrences/Lyroderma_lyra/gbif-download/cleaned/Lyroderma_lyra_cleaned.csv,104,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Megadermatidae,Lyroderma,Lyroderma lyra
Meriones crassus,Meriones_crassus,sdms/runs/host_sdm_push/occurrences/Meriones_crassus/gbif-download/cleaned/Meriones_crassus_cleaned.csv,49,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,Meriones crassus
Micaelamys namaquensis,Micaelamys_namaquensis,sdms/runs/host_sdm_push/occurrences/Micaelamys_namaquensis/gbif-download/cleaned/Micaelamys_namaquensis_cleaned.csv,237,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Micaelamys,Micaelamys namaquensis
Microtus californicus,Microtus_californicus,sdms/runs/host_sdm_push/occurrences/Microtus_californicus/gbif-download/cleaned/Microtus_californicus_cleaned.csv,2258,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus californicus
Microtus guentheri,Microtus_guentheri,sdms/runs/host_sdm_push/occurrences/Microtus_guentheri/gbif-download/cleaned/Microtus_guentheri_cleaned.csv,153,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus guentheri
Microtus ilaeus,Microtus_ilaeus,sdms/runs/host_sdm_push/occurrences/Microtus_ilaeus/gbif-download/cleaned/Microtus_ilaeus_cleaned.csv,20,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus ilaeus
Microtus montanus,Microtus_montanus,sdms/runs/host_sdm_push/occurrences/Microtus_montanus/gbif-download/cleaned/Microtus_montanus_cleaned.csv,2444,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus
Microtus ochrogaster,Microtus_ochrogaster,sdms/runs/host_sdm_push/occurrences/Microtus_ochrogaster/gbif-download/cleaned/Microtus_ochrogaster_cleaned.csv,1786,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus ochrogaster
Microtus pennsylvanicus,Microtus_pennsylvanicus,sdms/runs/host_sdm_push/occurrences/Microtus_pennsylvanicus/gbif-download/cleaned/Microtus_pennsylvanicus_cleaned.csv,25352,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus
Millardia meltada,Millardia_meltada,sdms/runs/host_sdm_push/occurrences/Millardia_meltada/gbif-download/cleaned/Millardia_meltada_cleaned.csv,7,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Millardia,Millardia meltada
Mirounga angustirostris,Mirounga_angustirostris,sdms/runs/host_sdm_push/occurrences/Mirounga_angustirostris/gbif-download/cleaned/Mirounga_angustirostris_cleaned.csv,1719,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga angustirostris
Molossus nigricans,Molossus_nigricans,sdms/runs/host_sdm_push/occurrences/Molossus_nigricans/gbif-download/cleaned/Molossus_nigricans_cleaned.csv,152,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Molossus,Molossus nigricans
Mops condylurus,Mops_condylurus,sdms/runs/host_sdm_push/occurrences/Mops_condylurus/gbif-download/cleaned/Mops_condylurus_cleaned.csv,270,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Mops,Mops condylurus
Muntiacus reevesi,Muntiacus_reevesi,sdms/runs/host_sdm_push/occurrences/Muntiacus_reevesi/gbif-download/cleaned/Muntiacus_reevesi_cleaned.csv,121467,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Muntiacus reevesi
Myodes rufocanus,Myodes_rufocanus,sdms/runs/host_sdm_push/occurrences/Myodes_rufocanus/gbif-download/cleaned/Myodes_rufocanus_cleaned.csv,2513,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes rufocanus
Myotis blythii,Myotis_blythii,sdms/runs/host_sdm_push/occurrences/Myotis_blythii/gbif-download/cleaned/Myotis_blythii_cleaned.csv,5662,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis blythii
Myotis septentrionalis,Myotis_septentrionalis,sdms/runs/host_sdm_push/occurrences/Myotis_septentrionalis/gbif-download/cleaned/Myotis_septentrionalis_cleaned.csv,168,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis septentrionalis
Neotoma albigula,Neotoma_albigula,sdms/runs/host_sdm_push/occurrences/Neotoma_albigula/gbif-download/cleaned/Neotoma_albigula_cleaned.csv,2447,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma albigula
Neotoma cinerea,Neotoma_cinerea,sdms/runs/host_sdm_push/occurrences/Neotoma_cinerea/gbif-download/cleaned/Neotoma_cinerea_cleaned.csv,1065,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma cinerea
Neotoma fuscipes,Neotoma_fuscipes,sdms/runs/host_sdm_push/occurrences/Neotoma_fuscipes/gbif-download/cleaned/Neotoma_fuscipes_cleaned.csv,1592,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma fuscipes
Neotoma mexicana,Neotoma_mexicana,sdms/runs/host_sdm_push/occurrences/Neotoma_mexicana/gbif-download/cleaned/Neotoma_mexicana_cleaned.csv,1439,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma mexicana
Neotoma micropus,Neotoma_micropus,sdms/runs/host_sdm_push/occurrences/Neotoma_micropus/gbif-download/cleaned/Neotoma_micropus_cleaned.csv,751,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma micropus
Ochotona pallasi,Ochotona_pallasi,sdms/runs/host_sdm_push/occurrences/Ochotona_pallasi/gbif-download/cleaned/Ochotona_pallasi_cleaned.csv,553,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona pallasi
Odobenus rosmarus,Odobenus_rosmarus,sdms/runs/host_sdm_push/occurrences/Odobenus_rosmarus/gbif-download/cleaned/Odobenus_rosmarus_cleaned.csv,1919,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus
Oreamnos americanus,Oreamnos_americanus,sdms/runs/host_sdm_push/occurrences/Oreamnos_americanus/gbif-download/cleaned/Oreamnos_americanus_cleaned.csv,7347,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oreamnos,Oreamnos americanus
Oryx gazella,Oryx_gazella,sdms/runs/host_sdm_push/occurrences/Oryx_gazella/gbif-download/cleaned/Oryx_gazella_cleaned.csv,4716,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx gazella
Oryzomys palustris,Oryzomys_palustris,sdms/runs/host_sdm_push/occurrences/Oryzomys_palustris/gbif-download/cleaned/Oryzomys_palustris_cleaned.csv,483,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys palustris
Otolemur crassicaudatus,Otolemur_crassicaudatus,sdms/runs/host_sdm_push/occurrences/Otolemur_crassicaudatus/gbif-download/cleaned/Otolemur_crassicaudatus_cleaned.csv,553,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Galagidae,Otolemur,Otolemur crassicaudatus
Oxymycterus rufus,Oxymycterus_rufus,sdms/runs/host_sdm_push/occurrences/Oxymycterus_rufus/gbif-download/cleaned/Oxymycterus_rufus_cleaned.csv,50,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oxymycterus,Oxymycterus rufus
Papio anubis,Papio_anubis,sdms/runs/host_sdm_push/occurrences/Papio_anubis/gbif-download/cleaned/Papio_anubis_cleaned.csv,7502,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio anubis
Pedetes capensis,Pedetes_capensis,sdms/runs/host_sdm_push/occurrences/Pedetes_capensis/gbif-download/cleaned/Pedetes_capensis_cleaned.csv,382,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Pedetidae,Pedetes,Pedetes capensis
Perodicticus potto,Perodicticus_potto,sdms/runs/host_sdm_push/occurrences/Perodicticus_potto/gbif-download/cleaned/Perodicticus_potto_cleaned.csv,91,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,Perodicticus potto
Peromyscus difficilis,Peromyscus_difficilis,sdms/runs/host_sdm_push/occurrences/Peromyscus_difficilis/gbif-download/cleaned/Peromyscus_difficilis_cleaned.csv,1770,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus difficilis
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,sdms/runs/host_sdm_push/occurrences/Phacochoerus_aethiopicus/gbif-download/cleaned/Phacochoerus_aethiopicus_cleaned.csv,514,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus,Phacochoerus aethiopicus
Phyllostomus hastatus,Phyllostomus_hastatus,sdms/runs/host_sdm_push/occurrences/Phyllostomus_hastatus/gbif-download/cleaned/Phyllostomus_hastatus_cleaned.csv,1178,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus
Piliocolobus badius,Piliocolobus_badius,sdms/runs/host_sdm_push/occurrences/Piliocolobus_badius/gbif-download/cleaned/Piliocolobus_badius_cleaned.csv,342,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Piliocolobus,Piliocolobus badius
Pithecia pithecia,Pithecia_pithecia,sdms/runs/host_sdm_push/occurrences/Pithecia_pithecia/gbif-download/cleaned/Pithecia_pithecia_cleaned.csv,452,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Pithecia,Pithecia pithecia
Platyrrhinus helleri,Platyrrhinus_helleri,sdms/runs/host_sdm_push/occurrences/Platyrrhinus_helleri/gbif-download/cleaned/Platyrrhinus_helleri_cleaned.csv,1232,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri
Potos flavus,Potos_flavus,sdms/runs/host_sdm_push/occurrences/Potos_flavus/gbif-download/cleaned/Potos_flavus_cleaned.csv,1881,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Potos,Potos flavus
Praomys daltoni,Praomys_daltoni,sdms/runs/host_sdm_push/occurrences/Praomys_daltoni/gbif-download/cleaned/Praomys_daltoni_cleaned.csv,457,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Praomys,Praomys daltoni
Praomys rostratus,Praomys_rostratus,sdms/runs/host_sdm_push/occurrences/Praomys_rostratus/gbif-download/cleaned/Praomys_rostratus_cleaned.csv,538,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Praomys,Praomys rostratus
Propithecus coquereli,Propithecus_coquereli,sdms/runs/host_sdm_push/occurrences/Propithecus_coquereli/gbif-download/cleaned/Propithecus_coquereli_cleaned.csv,228,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Indriidae,Propithecus,Propithecus coquereli
Propithecus verreauxi,Propithecus_verreauxi,sdms/runs/host_sdm_push/occurrences/Propithecus_verreauxi/gbif-download/cleaned/Propithecus_verreauxi_cleaned.csv,593,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Indriidae,Propithecus,Propithecus verreauxi
Pteronotus davyi,Pteronotus_davyi,sdms/runs/host_sdm_push/occurrences/Pteronotus_davyi/gbif-download/cleaned/Pteronotus_davyi_cleaned.csv,1858,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus,Pteronotus davyi
Pteronotus parnellii,Pteronotus_parnellii,sdms/runs/host_sdm_push/occurrences/Pteronotus_parnellii/gbif-download/cleaned/Pteronotus_parnellii_cleaned.csv,751,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus,Pteronotus parnellii
Pteropus admiralitatum,Pteropus_admiralitatum,sdms/runs/host_sdm_push/occurrences/Pteropus_admiralitatum/gbif-download/cleaned/Pteropus_admiralitatum_cleaned.csv,19,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus admiralitatum
Pteropus capistratus,Pteropus_capistratus,sdms/runs/host_sdm_push/occurrences/Pteropus_capistratus/gbif-download/cleaned/Pteropus_capistratus_cleaned.csv,2,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus capistratus
Pteropus conspicillatus,Pteropus_conspicillatus,sdms/runs/host_sdm_push/occurrences/Pteropus_conspicillatus/gbif-download/cleaned/Pteropus_conspicillatus_cleaned.csv,1377,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus conspicillatus
Pteropus neohibernicus,Pteropus_neohibernicus,sdms/runs/host_sdm_push/occurrences/Pteropus_neohibernicus/gbif-download/cleaned/Pteropus_neohibernicus_cleaned.csv,51,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus neohibernicus
Pteropus poliocephalus,Pteropus_poliocephalus,sdms/runs/host_sdm_push/occurrences/Pteropus_poliocephalus/gbif-download/cleaned/Pteropus_poliocephalus_cleaned.csv,91308,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus poliocephalus
Pteropus pumilus,Pteropus_pumilus,sdms/runs/host_sdm_push/occurrences/Pteropus_pumilus/gbif-download/cleaned/Pteropus_pumilus_cleaned.csv,60,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus pumilus
Pteropus rufus,Pteropus_rufus,sdms/runs/host_sdm_push/occurrences/Pteropus_rufus/gbif-download/cleaned/Pteropus_rufus_cleaned.csv,118,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus rufus
Pteropus scapulatus,Pteropus_scapulatus,sdms/runs/host_sdm_push/occurrences/Pteropus_scapulatus/gbif-download/cleaned/Pteropus_scapulatus_cleaned.csv,3471,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus scapulatus
Pusa hispida,Pusa_hispida,sdms/runs/host_sdm_push/occurrences/Pusa_hispida/gbif-download/cleaned/Pusa_hispida_cleaned.csv,2394,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa,Pusa hispida
Pusa sibirica,Pusa_sibirica,sdms/runs/host_sdm_push/occurrences/Pusa_sibirica/gbif-download/cleaned/Pusa_sibirica_cleaned.csv,93,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa,Pusa sibirica
Rattus exulans,Rattus_exulans,sdms/runs/host_sdm_push/occurrences/Rattus_exulans/gbif-download/cleaned/Rattus_exulans_cleaned.csv,546,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus exulans
Rattus pyctoris,Rattus_pyctoris,sdms/runs/host_sdm_push/occurrences/Rattus_pyctoris/gbif-download/cleaned/Rattus_pyctoris_cleaned.csv,10,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus pyctoris
