species_name,species_name_canonical,species_role,sdm_needed_for_disease,sdm_available,sdm_species,run_status,run_priority,occurrence_method,gbif_occurrence_method,start_year,end_year,min_points,disease_count,disease_names,pilot_include_disease_names,analysis_unit_ids,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,has_pilot_disease,has_pilot_include_disease,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation,first_pass_eligible,eligibility_status,eligibility_reasons,taxonomy_review_needed,taxonomy_review_reason,taxonomy_override_applied,taxonomy_override_notes,existing_model_path,occurrence_status,occurrence_rows_raw,occurrence_rows_clean,passes_min_points,gbif_occurrence_path,local_occurrence_path,combined_occurrence_path,model_status,model_output_path,synonym_review_status,synonym_notes,notes
Glossophaga mutica,Glossophaga mutica,host,yes,FALSE,Glossophaga mutica,occurrences_ready,11,gbif-download,gbif-download,2000,2026,20,3,Chikungunya fever; Dengue; Zika virus disease,Chikungunya fever; Dengue; Zika virus disease,,Chordata,Mammalia,Chiroptera,Phyllostomidae,FALSE,TRUE,TRUE,0,3,0,0,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,932,904,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Glossophaga_mutica/gbif-download/cleaned/Glossophaga_mutica_cleaned.csv,,,not_run,,not_audited,,
Cynopterus sphinx,Cynopterus sphinx,host,yes,FALSE,Cynopterus sphinx,occurrences_ready,12,gbif-download,gbif-download,2000,2026,20,3,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease,,Chordata,Mammalia,Chiroptera,Pteropodidae,FALSE,TRUE,TRUE,0,0,3,7,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,791,598,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Cynopterus_sphinx/gbif-download/cleaned/Cynopterus_sphinx_cleaned.csv,,,not_run,,not_audited,,
Pteropus scapulatus,Pteropus scapulatus,host,yes,FALSE,Pteropus scapulatus,occurrences_ready,13,gbif-download,gbif-download,2000,2026,20,3,Dengue; Hendra; West Nile fever,Dengue; Hendra; West Nile fever,,Chordata,Mammalia,Chiroptera,Pteropodidae,FALSE,TRUE,TRUE,1,1,2,6,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,3659,3471,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Pteropus_scapulatus/gbif-download/cleaned/Pteropus_scapulatus_cleaned.csv,,,not_run,,not_audited,,
Tragelaphus strepsiceros,Tragelaphus strepsiceros,host,yes,FALSE,Tragelaphus strepsiceros,occurrences_ready,14,gbif-download,gbif-download,2000,2026,20,2,Crimean-Congo hemorrhagic fever; Rift Valley fever,Crimean-Congo hemorrhagic fever; Rift Valley fever,,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,TRUE,TRUE,2,1,2,5,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,11475,11295,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Tragelaphus_strepsiceros/gbif-download/cleaned/Tragelaphus_strepsiceros_cleaned.csv,,,not_run,,not_audited,,
Anourosorex squamipes,Anourosorex squamipes,host,yes,FALSE,Anourosorex squamipes,occurrences_ready,15,gbif-download,gbif-download,2000,2026,20,2,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Eulipotyphla,Soricidae,FALSE,TRUE,TRUE,0,3,0,0,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,35,35,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Anourosorex_squamipes/gbif-download/cleaned/Anourosorex_squamipes_cleaned.csv,,,not_run,,not_audited,,
Crocidura shantungensis,Crocidura shantungensis,host,yes,FALSE,Crocidura shantungensis,occurrences_ready,16,gbif-download,gbif-download,2000,2026,20,2,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Eulipotyphla,Soricidae,FALSE,TRUE,TRUE,0,3,0,0,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,123,74,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Crocidura_shantungensis/gbif-download/cleaned/Crocidura_shantungensis_cleaned.csv,,,not_run,,not_audited,,
Canis mesomelas,Canis mesomelas,host,yes,FALSE,Canis mesomelas,occurrences_ready,17,gbif-download,gbif-download,2000,2026,20,1,Rift Valley fever,Rift Valley fever,,Chordata,Mammalia,Carnivora,Canidae,FALSE,TRUE,TRUE,1,1,2,4,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,342,336,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Canis_mesomelas/gbif-download/cleaned/Canis_mesomelas_cleaned.csv,,,not_run,,not_audited,,
Pteropus conspicillatus,Pteropus conspicillatus,host,yes,FALSE,Pteropus conspicillatus,occurrences_ready,18,gbif-download,gbif-download,2000,2026,20,1,Hendra,Hendra,,Chordata,Mammalia,Chiroptera,Pteropodidae,FALSE,TRUE,TRUE,1,1,2,1,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,1617,1377,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Pteropus_conspicillatus/gbif-download/cleaned/Pteropus_conspicillatus_cleaned.csv,,,not_run,,not_audited,,
Alexandromys maximowiczii,Alexandromys maximowiczii,host,yes,FALSE,Alexandromys maximowiczii,occurrences_ready,19,gbif-download,gbif-download,2000,2026,20,1,Tick-borne encephalitis,Tick-borne encephalitis,,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,TRUE,TRUE,0,2,1,0,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,3,3,FALSE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Alexandromys_maximowiczii/gbif-download/cleaned/Alexandromys_maximowiczii_cleaned.csv,,,not_run,,not_audited,,
Microtus pennsylvanicus,Microtus pennsylvanicus,host,yes,FALSE,Microtus pennsylvanicus,occurrences_ready,20,gbif-download,gbif-download,2000,2026,20,1,Hantavirus pulmonary syndrome,Hantavirus pulmonary syndrome,,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,TRUE,TRUE,0,1,2,4,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,25645,25352,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Microtus_pennsylvanicus/gbif-download/cleaned/Microtus_pennsylvanicus_cleaned.csv,,,not_run,,not_audited,,
