species_name,species_safe,taxonomy_level,value,n_records
Galictis cuja,Galictis_cuja,kingdom,Animalia,796
Galictis cuja,Galictis_cuja,order,Carnivora,796
Galictis cuja,Galictis_cuja,phylum,Chordata,796
Galictis cuja,Galictis_cuja,species,Galictis cuja,796
Gerbilliscus brantsii,Gerbilliscus_brantsii,class,Mammalia,11
Gerbilliscus brantsii,Gerbilliscus_brantsii,family,Muridae,11
Gerbilliscus brantsii,Gerbilliscus_brantsii,genus,Gerbilliscus,11
Gerbilliscus brantsii,Gerbilliscus_brantsii,kingdom,Animalia,11
Gerbilliscus brantsii,Gerbilliscus_brantsii,order,Rodentia,11
Gerbilliscus brantsii,Gerbilliscus_brantsii,phylum,Chordata,11
Gerbilliscus brantsii,Gerbilliscus_brantsii,species,Gerbilliscus brantsii,11
Gerbilliscus leucogaster,Gerbilliscus_leucogaster,class,Mammalia,131
Gerbilliscus leucogaster,Gerbilliscus_leucogaster,family,Muridae,131
Gerbilliscus leucogaster,Gerbilliscus_leucogaster,genus,Gerbilliscus,131
Gerbilliscus leucogaster,Gerbilliscus_leucogaster,kingdom,Animalia,131
Gerbilliscus leucogaster,Gerbilliscus_leucogaster,order,Rodentia,131
Gerbilliscus leucogaster,Gerbilliscus_leucogaster,phylum,Chordata,131
Gerbilliscus leucogaster,Gerbilliscus_leucogaster,species,Gerbilliscus leucogaster,131
Gerbillus pyramidum,Gerbillus_pyramidum,class,Mammalia,25
Gerbillus pyramidum,Gerbillus_pyramidum,family,Muridae,25
Gerbillus pyramidum,Gerbillus_pyramidum,genus,Gerbillus,25
Gerbillus pyramidum,Gerbillus_pyramidum,kingdom,Animalia,25
Gerbillus pyramidum,Gerbillus_pyramidum,order,Rodentia,25
Gerbillus pyramidum,Gerbillus_pyramidum,phylum,Chordata,25
Gerbillus pyramidum,Gerbillus_pyramidum,species,Gerbillus pyramidum,25
Giraffa camelopardalis,Giraffa_camelopardalis,class,Mammalia,2811
Giraffa camelopardalis,Giraffa_camelopardalis,family,Giraffidae,2811
Giraffa camelopardalis,Giraffa_camelopardalis,genus,Giraffa,2811
Giraffa camelopardalis,Giraffa_camelopardalis,kingdom,Animalia,2811
Giraffa camelopardalis,Giraffa_camelopardalis,order,Artiodactyla,2811
Giraffa camelopardalis,Giraffa_camelopardalis,phylum,Chordata,2811
Giraffa camelopardalis,Giraffa_camelopardalis,species,Giraffa camelopardalis,2811
Giraffa giraffa,Giraffa_giraffa,class,Mammalia,10908
Giraffa giraffa,Giraffa_giraffa,family,Giraffidae,10908
Giraffa giraffa,Giraffa_giraffa,genus,Giraffa,10908
Giraffa giraffa,Giraffa_giraffa,kingdom,Animalia,10908
Giraffa giraffa,Giraffa_giraffa,order,Artiodactyla,10908
Giraffa giraffa,Giraffa_giraffa,phylum,Chordata,10908
Giraffa giraffa,Giraffa_giraffa,species,Giraffa giraffa,10908
Globicephala melas,Globicephala_melas,class,Mammalia,681
Globicephala melas,Globicephala_melas,family,Delphinidae,681
Globicephala melas,Globicephala_melas,genus,Globicephala,681
Globicephala melas,Globicephala_melas,kingdom,Animalia,681
Globicephala melas,Globicephala_melas,order,Cetacea,681
Globicephala melas,Globicephala_melas,phylum,Chordata,681
Globicephala melas,Globicephala_melas,species,Globicephala melas,681
Glossophaga mutica,Glossophaga_mutica,class,Mammalia,904
Glossophaga mutica,Glossophaga_mutica,family,Phyllostomidae,904
Glossophaga mutica,Glossophaga_mutica,genus,Glossophaga,904
Glossophaga mutica,Glossophaga_mutica,kingdom,Animalia,904
Glossophaga mutica,Glossophaga_mutica,order,Chiroptera,904
Glossophaga mutica,Glossophaga_mutica,phylum,Chordata,904
Glossophaga mutica,Glossophaga_mutica,species,Glossophaga mutica,904
Hemiechinus auritus,Hemiechinus_auritus,class,Mammalia,1156
Hemiechinus auritus,Hemiechinus_auritus,family,Erinaceidae,1156
Hemiechinus auritus,Hemiechinus_auritus,genus,Hemiechinus,1156
Hemiechinus auritus,Hemiechinus_auritus,kingdom,Animalia,1156
Hemiechinus auritus,Hemiechinus_auritus,order,Erinaceomorpha,1156
Hemiechinus auritus,Hemiechinus_auritus,phylum,Chordata,1156
Hemiechinus auritus,Hemiechinus_auritus,species,Hemiechinus auritus,1156
Hippotragus niger,Hippotragus_niger,class,Mammalia,1624
Hippotragus niger,Hippotragus_niger,family,Bovidae,1624
Hippotragus niger,Hippotragus_niger,genus,Hippotragus,1624
Hippotragus niger,Hippotragus_niger,kingdom,Animalia,1624
Hippotragus niger,Hippotragus_niger,order,Artiodactyla,1624
Hippotragus niger,Hippotragus_niger,phylum,Chordata,1624
Hippotragus niger,Hippotragus_niger,species,Hippotragus niger,1624
Hystrix africaeaustralis,Hystrix_africaeaustralis,class,Mammalia,4612
Hystrix africaeaustralis,Hystrix_africaeaustralis,family,Hystricidae,4612
Hystrix africaeaustralis,Hystrix_africaeaustralis,genus,Hystrix,4612
Hystrix africaeaustralis,Hystrix_africaeaustralis,kingdom,Animalia,4612
Hystrix africaeaustralis,Hystrix_africaeaustralis,order,Rodentia,4612
Hystrix africaeaustralis,Hystrix_africaeaustralis,phylum,Chordata,4612
Hystrix africaeaustralis,Hystrix_africaeaustralis,species,Hystrix africaeaustralis,4612
Kobus ellipsiprymnus,Kobus_ellipsiprymnus,class,Mammalia,11381
Kobus ellipsiprymnus,Kobus_ellipsiprymnus,family,Bovidae,11381
Kobus ellipsiprymnus,Kobus_ellipsiprymnus,genus,Kobus,11381
Kobus ellipsiprymnus,Kobus_ellipsiprymnus,kingdom,Animalia,11381
Kobus ellipsiprymnus,Kobus_ellipsiprymnus,order,Artiodactyla,11381
Kobus ellipsiprymnus,Kobus_ellipsiprymnus,phylum,Chordata,11381
Kobus ellipsiprymnus,Kobus_ellipsiprymnus,species,Kobus ellipsiprymnus,11381
Lagenorhynchus acutus,Lagenorhynchus_acutus,class,Mammalia,5078
Lagenorhynchus acutus,Lagenorhynchus_acutus,family,Delphinidae,5078
Lagenorhynchus acutus,Lagenorhynchus_acutus,genus,Lagenorhynchus,5078
Lagenorhynchus acutus,Lagenorhynchus_acutus,kingdom,Animalia,5078
Lagenorhynchus acutus,Lagenorhynchus_acutus,order,Cetacea,5078
Lagenorhynchus acutus,Lagenorhynchus_acutus,phylum,Chordata,5078
Lagenorhynchus acutus,Lagenorhynchus_acutus,species,Lagenorhynchus acutus,5078
Lemur catta,Lemur_catta,class,Mammalia,708
Lemur catta,Lemur_catta,family,Lemuridae,708
Lemur catta,Lemur_catta,genus,Lemur,708
Lemur catta,Lemur_catta,kingdom,Animalia,708
Lemur catta,Lemur_catta,order,Primates,708
Lemur catta,Lemur_catta,phylum,Chordata,708
Lemur catta,Lemur_catta,species,Lemur catta,708
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,class,Mammalia,30
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,family,Callitrichidae,30
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,genus,Leontopithecus,30
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,kingdom,Animalia,30
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,order,Primates,30
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,phylum,Chordata,30
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,species,Leontopithecus chrysomelas,30
Lepilemur edwardsi,Lepilemur_edwardsi,class,Mammalia,49
Lepilemur edwardsi,Lepilemur_edwardsi,family,Lepilemuridae,49
Lepilemur edwardsi,Lepilemur_edwardsi,genus,Lepilemur,49
Lepilemur edwardsi,Lepilemur_edwardsi,kingdom,Animalia,49
Lepilemur edwardsi,Lepilemur_edwardsi,order,Primates,49
Lepilemur edwardsi,Lepilemur_edwardsi,phylum,Chordata,49
Lepilemur edwardsi,Lepilemur_edwardsi,species,Lepilemur edwardsi,49
Lepilemur mustelinus,Lepilemur_mustelinus,class,Mammalia,18
Lepilemur mustelinus,Lepilemur_mustelinus,family,Lepilemuridae,18
Lepilemur mustelinus,Lepilemur_mustelinus,genus,Lepilemur,18
Lepilemur mustelinus,Lepilemur_mustelinus,kingdom,Animalia,18
Lepilemur mustelinus,Lepilemur_mustelinus,order,Primates,18
Lepilemur mustelinus,Lepilemur_mustelinus,phylum,Chordata,18
Lepilemur mustelinus,Lepilemur_mustelinus,species,Lepilemur mustelinus,18
Lepus capensis,Lepus_capensis,class,Mammalia,30672
Lepus capensis,Lepus_capensis,family,Leporidae,30672
Lepus capensis,Lepus_capensis,genus,Lepus,30672
Lepus capensis,Lepus_capensis,kingdom,Animalia,30672
Lepus capensis,Lepus_capensis,order,Lagomorpha,30672
Lepus capensis,Lepus_capensis,phylum,Chordata,30672
Lepus capensis,Lepus_capensis,species,Lepus capensis,30672
Litocranius walleri,Litocranius_walleri,class,Mammalia,963
Litocranius walleri,Litocranius_walleri,family,Bovidae,963
Litocranius walleri,Litocranius_walleri,genus,Litocranius,963
Litocranius walleri,Litocranius_walleri,kingdom,Animalia,963
Litocranius walleri,Litocranius_walleri,order,Artiodactyla,963
Litocranius walleri,Litocranius_walleri,phylum,Chordata,963
Litocranius walleri,Litocranius_walleri,species,Litocranius walleri,963
Lobodon carcinophaga,Lobodon_carcinophaga,class,Mammalia,1932
Lobodon carcinophaga,Lobodon_carcinophaga,family,Phocidae,1932
Lobodon carcinophaga,Lobodon_carcinophaga,genus,Lobodon,1932
Lobodon carcinophaga,Lobodon_carcinophaga,kingdom,Animalia,1932
Lobodon carcinophaga,Lobodon_carcinophaga,order,Carnivora,1932
Lobodon carcinophaga,Lobodon_carcinophaga,phylum,Chordata,1932
Lobodon carcinophaga,Lobodon_carcinophaga,species,Lobodon carcinophaga,1932
Lophocebus albigena,Lophocebus_albigena,class,Mammalia,347
Lophocebus albigena,Lophocebus_albigena,family,Cercopithecidae,347
Lophocebus albigena,Lophocebus_albigena,genus,Lophocebus,347
Lophocebus albigena,Lophocebus_albigena,kingdom,Animalia,347
Lophocebus albigena,Lophocebus_albigena,order,Primates,347
Lophocebus albigena,Lophocebus_albigena,phylum,Chordata,347
Lophocebus albigena,Lophocebus_albigena,species,Lophocebus albigena,347
Loxodonta africana,Loxodonta_africana,class,Mammalia,22693
Loxodonta africana,Loxodonta_africana,family,Elephantidae,22693
Loxodonta africana,Loxodonta_africana,genus,Loxodonta,22693
Loxodonta africana,Loxodonta_africana,kingdom,Animalia,22693
Loxodonta africana,Loxodonta_africana,order,Proboscidea,22693
Loxodonta africana,Loxodonta_africana,phylum,Chordata,22693
Loxodonta africana,Loxodonta_africana,species,Loxodonta africana,22693
Lyroderma lyra,Lyroderma_lyra,class,Mammalia,104
Lyroderma lyra,Lyroderma_lyra,family,Megadermatidae,104
Lyroderma lyra,Lyroderma_lyra,genus,Lyroderma,104
Lyroderma lyra,Lyroderma_lyra,kingdom,Animalia,104
Lyroderma lyra,Lyroderma_lyra,order,Chiroptera,104
Lyroderma lyra,Lyroderma_lyra,phylum,Chordata,104
Lyroderma lyra,Lyroderma_lyra,species,Lyroderma lyra,104
Meriones crassus,Meriones_crassus,class,Mammalia,49
Meriones crassus,Meriones_crassus,family,Muridae,49
Meriones crassus,Meriones_crassus,genus,Meriones,49
Meriones crassus,Meriones_crassus,kingdom,Animalia,49
Meriones crassus,Meriones_crassus,order,Rodentia,49
Meriones crassus,Meriones_crassus,phylum,Chordata,49
Meriones crassus,Meriones_crassus,species,Meriones crassus,49
Micaelamys namaquensis,Micaelamys_namaquensis,class,Mammalia,237
Micaelamys namaquensis,Micaelamys_namaquensis,family,Muridae,237
Micaelamys namaquensis,Micaelamys_namaquensis,genus,Micaelamys,237
Micaelamys namaquensis,Micaelamys_namaquensis,kingdom,Animalia,237
Micaelamys namaquensis,Micaelamys_namaquensis,order,Rodentia,237
Micaelamys namaquensis,Micaelamys_namaquensis,phylum,Chordata,237
Micaelamys namaquensis,Micaelamys_namaquensis,species,Micaelamys namaquensis,237
Microtus californicus,Microtus_californicus,class,Mammalia,2258
Microtus californicus,Microtus_californicus,family,Cricetidae,2258
Microtus californicus,Microtus_californicus,genus,Microtus,2258
Microtus californicus,Microtus_californicus,kingdom,Animalia,2258
Microtus californicus,Microtus_californicus,order,Rodentia,2258
Microtus californicus,Microtus_californicus,phylum,Chordata,2258
Microtus californicus,Microtus_californicus,species,Microtus californicus,2258
Microtus guentheri,Microtus_guentheri,class,Mammalia,153
Microtus guentheri,Microtus_guentheri,family,Cricetidae,153
Microtus guentheri,Microtus_guentheri,genus,Microtus,153
Microtus guentheri,Microtus_guentheri,kingdom,Animalia,153
Microtus guentheri,Microtus_guentheri,order,Rodentia,153
Microtus guentheri,Microtus_guentheri,phylum,Chordata,153
Microtus guentheri,Microtus_guentheri,species,Microtus guentheri,153
Microtus ilaeus,Microtus_ilaeus,class,Mammalia,20
Microtus ilaeus,Microtus_ilaeus,family,Cricetidae,20
Microtus ilaeus,Microtus_ilaeus,genus,Microtus,20
Microtus ilaeus,Microtus_ilaeus,kingdom,Animalia,20
Microtus ilaeus,Microtus_ilaeus,order,Rodentia,20
Microtus ilaeus,Microtus_ilaeus,phylum,Chordata,20
Microtus ilaeus,Microtus_ilaeus,species,Microtus ilaeus,20
Microtus montanus,Microtus_montanus,class,Mammalia,2444
Microtus montanus,Microtus_montanus,family,Cricetidae,2444
Microtus montanus,Microtus_montanus,genus,Microtus,2444
Microtus montanus,Microtus_montanus,kingdom,Animalia,2444
Microtus montanus,Microtus_montanus,order,Rodentia,2444
Microtus montanus,Microtus_montanus,phylum,Chordata,2444
Microtus montanus,Microtus_montanus,species,Microtus montanus,2444
Microtus ochrogaster,Microtus_ochrogaster,class,Mammalia,1786
Microtus ochrogaster,Microtus_ochrogaster,family,Cricetidae,1786
Microtus ochrogaster,Microtus_ochrogaster,genus,Microtus,1786
Microtus ochrogaster,Microtus_ochrogaster,kingdom,Animalia,1786
Microtus ochrogaster,Microtus_ochrogaster,order,Rodentia,1786
Microtus ochrogaster,Microtus_ochrogaster,phylum,Chordata,1786
Microtus ochrogaster,Microtus_ochrogaster,species,Microtus ochrogaster,1786
Microtus pennsylvanicus,Microtus_pennsylvanicus,class,Mammalia,25352
Microtus pennsylvanicus,Microtus_pennsylvanicus,family,Cricetidae,25352
Microtus pennsylvanicus,Microtus_pennsylvanicus,genus,Microtus,25352
Microtus pennsylvanicus,Microtus_pennsylvanicus,kingdom,Animalia,25352
Microtus pennsylvanicus,Microtus_pennsylvanicus,order,Rodentia,25352
Microtus pennsylvanicus,Microtus_pennsylvanicus,phylum,Chordata,25352
Microtus pennsylvanicus,Microtus_pennsylvanicus,species,Microtus pennsylvanicus,25352
Millardia meltada,Millardia_meltada,class,Mammalia,7
Millardia meltada,Millardia_meltada,family,Muridae,7
Millardia meltada,Millardia_meltada,genus,Millardia,7
Millardia meltada,Millardia_meltada,kingdom,Animalia,7
Millardia meltada,Millardia_meltada,order,Rodentia,7
Millardia meltada,Millardia_meltada,phylum,Chordata,7
Millardia meltada,Millardia_meltada,species,Millardia meltada,7
Mirounga angustirostris,Mirounga_angustirostris,class,Mammalia,1719
Mirounga angustirostris,Mirounga_angustirostris,family,Phocidae,1719
Mirounga angustirostris,Mirounga_angustirostris,genus,Mirounga,1719
Mirounga angustirostris,Mirounga_angustirostris,kingdom,Animalia,1719
Mirounga angustirostris,Mirounga_angustirostris,order,Carnivora,1719
Mirounga angustirostris,Mirounga_angustirostris,phylum,Chordata,1719
Mirounga angustirostris,Mirounga_angustirostris,species,Mirounga angustirostris,1719
Molossus nigricans,Molossus_nigricans,class,Mammalia,152
Molossus nigricans,Molossus_nigricans,family,Molossidae,152
Molossus nigricans,Molossus_nigricans,genus,Molossus,152
Molossus nigricans,Molossus_nigricans,kingdom,Animalia,152
Molossus nigricans,Molossus_nigricans,order,Chiroptera,152
Molossus nigricans,Molossus_nigricans,phylum,Chordata,152
Molossus nigricans,Molossus_nigricans,species,Molossus nigricans,152
Mops condylurus,Mops_condylurus,class,Mammalia,270
Mops condylurus,Mops_condylurus,family,Molossidae,270
Mops condylurus,Mops_condylurus,genus,Mops,270
Mops condylurus,Mops_condylurus,kingdom,Animalia,270
Mops condylurus,Mops_condylurus,order,Chiroptera,270
Mops condylurus,Mops_condylurus,phylum,Chordata,270
Mops condylurus,Mops_condylurus,species,Mops condylurus,270
Mops pumilus,Mops_pumilus,class,Mammalia,48
Mops pumilus,Mops_pumilus,family,Molossidae,48
Mops pumilus,Mops_pumilus,genus,Chaerephon,48
Mops pumilus,Mops_pumilus,kingdom,Animalia,48
Mops pumilus,Mops_pumilus,order,Chiroptera,48
Mops pumilus,Mops_pumilus,phylum,Chordata,48
Mops pumilus,Mops_pumilus,species,Chaerephon pusillus,48
Muntiacus reevesi,Muntiacus_reevesi,class,Mammalia,121467
Muntiacus reevesi,Muntiacus_reevesi,family,Cervidae,121467
Muntiacus reevesi,Muntiacus_reevesi,genus,Muntiacus,121467
Muntiacus reevesi,Muntiacus_reevesi,kingdom,Animalia,121467
Muntiacus reevesi,Muntiacus_reevesi,order,Artiodactyla,121467
Muntiacus reevesi,Muntiacus_reevesi,phylum,Chordata,121467
Muntiacus reevesi,Muntiacus_reevesi,species,Muntiacus reevesi,121467
Myodes rufocanus,Myodes_rufocanus,class,Mammalia,2513
Myodes rufocanus,Myodes_rufocanus,family,Cricetidae,2513
Myodes rufocanus,Myodes_rufocanus,genus,Myodes,2513
Myodes rufocanus,Myodes_rufocanus,kingdom,Animalia,2513
Myodes rufocanus,Myodes_rufocanus,order,Rodentia,2513
Myodes rufocanus,Myodes_rufocanus,phylum,Chordata,2513
Myodes rufocanus,Myodes_rufocanus,species,Myodes rufocanus,2513
Myotis blythii,Myotis_blythii,class,Mammalia,5662
Myotis blythii,Myotis_blythii,family,Vespertilionidae,5662
Myotis blythii,Myotis_blythii,genus,Myotis,5662
Myotis blythii,Myotis_blythii,kingdom,Animalia,5662
Myotis blythii,Myotis_blythii,order,Chiroptera,5662
Myotis blythii,Myotis_blythii,phylum,Chordata,5662
Myotis blythii,Myotis_blythii,species,Myotis blythii,5662
Myotis septentrionalis,Myotis_septentrionalis,class,Mammalia,168
Myotis septentrionalis,Myotis_septentrionalis,family,Vespertilionidae,168
Myotis septentrionalis,Myotis_septentrionalis,genus,Myotis,168
Myotis septentrionalis,Myotis_septentrionalis,kingdom,Animalia,168
Myotis septentrionalis,Myotis_septentrionalis,order,Chiroptera,168
Myotis septentrionalis,Myotis_septentrionalis,phylum,Chordata,168
Myotis septentrionalis,Myotis_septentrionalis,species,Myotis septentrionalis,168
Neotoma albigula,Neotoma_albigula,class,Mammalia,2447
Neotoma albigula,Neotoma_albigula,family,Cricetidae,2447
Neotoma albigula,Neotoma_albigula,genus,Neotoma,2447
Neotoma albigula,Neotoma_albigula,kingdom,Animalia,2447
Neotoma albigula,Neotoma_albigula,order,Rodentia,2447
Neotoma albigula,Neotoma_albigula,phylum,Chordata,2447
Neotoma albigula,Neotoma_albigula,species,Neotoma albigula,2447
Neotoma cinerea,Neotoma_cinerea,class,Mammalia,1065
Neotoma cinerea,Neotoma_cinerea,family,Cricetidae,1065
Neotoma cinerea,Neotoma_cinerea,genus,Neotoma,1065
Neotoma cinerea,Neotoma_cinerea,kingdom,Animalia,1065
Neotoma cinerea,Neotoma_cinerea,order,Rodentia,1065
Neotoma cinerea,Neotoma_cinerea,phylum,Chordata,1065
Neotoma cinerea,Neotoma_cinerea,species,Neotoma cinerea,1065
Neotoma fuscipes,Neotoma_fuscipes,class,Mammalia,1592
Neotoma fuscipes,Neotoma_fuscipes,family,Cricetidae,1592
Neotoma fuscipes,Neotoma_fuscipes,genus,Neotoma,1592
Neotoma fuscipes,Neotoma_fuscipes,kingdom,Animalia,1592
Neotoma fuscipes,Neotoma_fuscipes,order,Rodentia,1592
Neotoma fuscipes,Neotoma_fuscipes,phylum,Chordata,1592
Neotoma fuscipes,Neotoma_fuscipes,species,Neotoma fuscipes,1592
Neotoma mexicana,Neotoma_mexicana,class,Mammalia,1439
Neotoma mexicana,Neotoma_mexicana,family,Cricetidae,1439
Neotoma mexicana,Neotoma_mexicana,genus,Neotoma,1439
Neotoma mexicana,Neotoma_mexicana,kingdom,Animalia,1439
Neotoma mexicana,Neotoma_mexicana,order,Rodentia,1439
Neotoma mexicana,Neotoma_mexicana,phylum,Chordata,1439
Neotoma mexicana,Neotoma_mexicana,species,Neotoma mexicana,1439
Neotoma micropus,Neotoma_micropus,class,Mammalia,751
Neotoma micropus,Neotoma_micropus,family,Cricetidae,751
Neotoma micropus,Neotoma_micropus,genus,Neotoma,751
Neotoma micropus,Neotoma_micropus,kingdom,Animalia,751
Neotoma micropus,Neotoma_micropus,order,Rodentia,751
Neotoma micropus,Neotoma_micropus,phylum,Chordata,751
Neotoma micropus,Neotoma_micropus,species,Neotoma micropus,751
Ochotona pallasi,Ochotona_pallasi,class,Mammalia,553
Ochotona pallasi,Ochotona_pallasi,family,Ochotonidae,553
Ochotona pallasi,Ochotona_pallasi,genus,Ochotona,553
Ochotona pallasi,Ochotona_pallasi,kingdom,Animalia,553
Ochotona pallasi,Ochotona_pallasi,order,Lagomorpha,553
Ochotona pallasi,Ochotona_pallasi,phylum,Chordata,553
Ochotona pallasi,Ochotona_pallasi,species,Ochotona pallasi,553
Odobenus rosmarus,Odobenus_rosmarus,class,Mammalia,1919
Odobenus rosmarus,Odobenus_rosmarus,family,Odobenidae,1919
Odobenus rosmarus,Odobenus_rosmarus,genus,Odobenus,1919
Odobenus rosmarus,Odobenus_rosmarus,kingdom,Animalia,1919
Odobenus rosmarus,Odobenus_rosmarus,order,Carnivora,1919
Odobenus rosmarus,Odobenus_rosmarus,phylum,Chordata,1919
Odobenus rosmarus,Odobenus_rosmarus,species,Odobenus rosmarus,1919
Oreamnos americanus,Oreamnos_americanus,class,Mammalia,7347
Oreamnos americanus,Oreamnos_americanus,family,Bovidae,7347
Oreamnos americanus,Oreamnos_americanus,genus,Oreamnos,7347
Oreamnos americanus,Oreamnos_americanus,kingdom,Animalia,7347
Oreamnos americanus,Oreamnos_americanus,order,Artiodactyla,7347
Oreamnos americanus,Oreamnos_americanus,phylum,Chordata,7347
Oreamnos americanus,Oreamnos_americanus,species,Oreamnos americanus,7347
Oryx gazella,Oryx_gazella,class,Mammalia,4716
Oryx gazella,Oryx_gazella,family,Bovidae,4716
Oryx gazella,Oryx_gazella,genus,Oryx,4716
Oryx gazella,Oryx_gazella,kingdom,Animalia,4716
Oryx gazella,Oryx_gazella,order,Artiodactyla,4716
Oryx gazella,Oryx_gazella,phylum,Chordata,4716
Oryx gazella,Oryx_gazella,species,Oryx gazella,4716
Oryzomys palustris,Oryzomys_palustris,class,Mammalia,483
Oryzomys palustris,Oryzomys_palustris,family,Cricetidae,483
Oryzomys palustris,Oryzomys_palustris,genus,Oryzomys,483
Oryzomys palustris,Oryzomys_palustris,kingdom,Animalia,483
Oryzomys palustris,Oryzomys_palustris,order,Rodentia,483
Oryzomys palustris,Oryzomys_palustris,phylum,Chordata,483
Oryzomys palustris,Oryzomys_palustris,species,Oryzomys palustris,483
Otolemur crassicaudatus,Otolemur_crassicaudatus,class,Mammalia,553
Otolemur crassicaudatus,Otolemur_crassicaudatus,family,Galagidae,553
Otolemur crassicaudatus,Otolemur_crassicaudatus,genus,Otolemur,553
Otolemur crassicaudatus,Otolemur_crassicaudatus,kingdom,Animalia,553
Otolemur crassicaudatus,Otolemur_crassicaudatus,order,Primates,553
Otolemur crassicaudatus,Otolemur_crassicaudatus,phylum,Chordata,553
Otolemur crassicaudatus,Otolemur_crassicaudatus,species,Otolemur crassicaudatus,553
Oxymycterus rufus,Oxymycterus_rufus,class,Mammalia,50
Oxymycterus rufus,Oxymycterus_rufus,family,Cricetidae,50
Oxymycterus rufus,Oxymycterus_rufus,genus,Oxymycterus,50
Oxymycterus rufus,Oxymycterus_rufus,kingdom,Animalia,50
Oxymycterus rufus,Oxymycterus_rufus,order,Rodentia,50
Oxymycterus rufus,Oxymycterus_rufus,phylum,Chordata,50
Oxymycterus rufus,Oxymycterus_rufus,species,Oxymycterus rufus,50
Papio anubis,Papio_anubis,class,Mammalia,7502
Papio anubis,Papio_anubis,family,Cercopithecidae,7502
Papio anubis,Papio_anubis,genus,Papio,7502
Papio anubis,Papio_anubis,kingdom,Animalia,7502
Papio anubis,Papio_anubis,order,Primates,7502
Papio anubis,Papio_anubis,phylum,Chordata,7502
Papio anubis,Papio_anubis,species,Papio anubis,7502
Pedetes capensis,Pedetes_capensis,class,Mammalia,382
Pedetes capensis,Pedetes_capensis,family,Pedetidae,382
Pedetes capensis,Pedetes_capensis,genus,Pedetes,382
Pedetes capensis,Pedetes_capensis,kingdom,Animalia,382
Pedetes capensis,Pedetes_capensis,order,Rodentia,382
Pedetes capensis,Pedetes_capensis,phylum,Chordata,382
Pedetes capensis,Pedetes_capensis,species,Pedetes capensis,382
Perodicticus potto,Perodicticus_potto,class,Mammalia,91
Perodicticus potto,Perodicticus_potto,family,Lorisidae,91
Perodicticus potto,Perodicticus_potto,genus,Perodicticus,91
Perodicticus potto,Perodicticus_potto,kingdom,Animalia,91
Perodicticus potto,Perodicticus_potto,order,Primates,91
Perodicticus potto,Perodicticus_potto,phylum,Chordata,91
Perodicticus potto,Perodicticus_potto,species,Perodicticus potto,91
Peromyscus difficilis,Peromyscus_difficilis,class,Mammalia,1770
Peromyscus difficilis,Peromyscus_difficilis,family,Cricetidae,1770
Peromyscus difficilis,Peromyscus_difficilis,genus,Peromyscus,1770
Peromyscus difficilis,Peromyscus_difficilis,kingdom,Animalia,1770
Peromyscus difficilis,Peromyscus_difficilis,order,Rodentia,1770
Peromyscus difficilis,Peromyscus_difficilis,phylum,Chordata,1770
Peromyscus difficilis,Peromyscus_difficilis,species,Peromyscus difficilis,1770
Peromyscus sonoriensis,Peromyscus_sonoriensis,class,Mammalia,2039
Peromyscus sonoriensis,Peromyscus_sonoriensis,family,Cricetidae,2039
Peromyscus sonoriensis,Peromyscus_sonoriensis,genus,Peromyscus,2039
Peromyscus sonoriensis,Peromyscus_sonoriensis,kingdom,Animalia,2039
Peromyscus sonoriensis,Peromyscus_sonoriensis,order,Rodentia,2039
Peromyscus sonoriensis,Peromyscus_sonoriensis,phylum,Chordata,2039
Peromyscus sonoriensis,Peromyscus_sonoriensis,species,Peromyscus maniculatus,2039
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,class,Mammalia,514
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,family,Suidae,514
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,genus,Phacochoerus,514
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,kingdom,Animalia,514
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,order,Artiodactyla,514
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,phylum,Chordata,514
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,species,Phacochoerus aethiopicus,514
Phoca groenlandica,Phoca_groenlandica,class,Mammalia,5
Phoca groenlandica,Phoca_groenlandica,family,Phocidae,5
Phoca groenlandica,Phoca_groenlandica,genus,Pagophilus,5
Phoca groenlandica,Phoca_groenlandica,kingdom,Animalia,5
Phoca groenlandica,Phoca_groenlandica,order,Carnivora,5
Phoca groenlandica,Phoca_groenlandica,phylum,Chordata,5
Phoca groenlandica,Phoca_groenlandica,species,Pagophilus groenlandicus,5
Phocoena spinipinnis,Phocoena_spinipinnis,class,Mammalia,64
Phocoena spinipinnis,Phocoena_spinipinnis,family,Phocoenidae,64
Phocoena spinipinnis,Phocoena_spinipinnis,genus,Phocoena,64
Phocoena spinipinnis,Phocoena_spinipinnis,kingdom,Animalia,64
Phocoena spinipinnis,Phocoena_spinipinnis,order,Cetacea,64
Phocoena spinipinnis,Phocoena_spinipinnis,phylum,Chordata,64
