"species_name","source_method","source_dataset","output_path","rows","coordinate_rows","unique_coordinate_rows","source_species_column","latitude_column","longitude_column","source_path","extracted_at"
"Aedes furcifer taylori","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:07Z"
"Aedes hensilli","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_hensilli/vectormap/raw/Aedes_hensilli_vectormap_occurrences.csv",1,1,1,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:07Z"
"Aedes hensilli","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:07Z"
"Aedes luteocephalus","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_luteocephalus/vectormap/raw/Aedes_luteocephalus_vectormap_occurrences.csv",99,99,63,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:07Z"
"Aedes luteocephalus","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:07Z"
"Aedes notoscriptus","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_notoscriptus/vectormap/raw/Aedes_notoscriptus_vectormap_occurrences.csv",753,753,240,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:07Z"
"Aedes notoscriptus","mapveu","MapVEu sample + collection site + collection metadata","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_notoscriptus/mapveu/raw/Aedes_notoscriptus_mapveu_occurrences.csv",12,12,8,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:07Z"
"Aedes procax","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_procax/vectormap/raw/Aedes_procax_vectormap_occurrences.csv",208,208,63,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:07Z"
"Aedes procax","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:07Z"
"Aedes togoi","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_togoi/vectormap/raw/Aedes_togoi_vectormap_occurrences.csv",273,273,105,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:07Z"
