disease_name,review_priority_rank,review_priority_score,review_focus,audit_flags,tracker_done,tracker_scope,tracker_review,tracker_hosts,tracker_vectors,tracker_proxy,tracker_source_check,tracker_features,tracker_last_reviewed,tracker_next_step,review_note_present,review_note_files,role_assignment_status,sdm_availability_status,readiness_blocker,recommended_next_action,host_sdm_needed,vector_sdm_needed,host_sdm_species_available,vector_sdm_species_available,roster_rows,roster_host_rows,roster_vector_rows,roster_host_taxonomy_blank_rows,roster_vector_taxonomy_caution_rows,roster_vectors_with_disease_vector_evidence,roster_vectors_with_host_vector_evidence,roster_vectors_with_competence_evidence,host_feature_rows,host_bucket_reservoir_or_amplifying_rows,host_bucket_susceptible_or_spillover_rows,host_bucket_dead_end_or_incidental_rows,host_bucket_presence_only_rows,host_bucket_unknown_rows,host_exact_source_backed_rows,host_exact_reviewed_needs_review_rows,host_disease_group_proxy_rows,host_weighted_taxonomic_proxy_rows,host_proxy_rows,host_profile_group_proxy_rows,host_proxy_needs_review_rows,host_role_needs_manual_review_rows,host_taxonomy_blank_rows,host_proxy_rule_ids,active_host_proxy_rule_rows,active_host_proxy_taxid_rule_rows,active_host_proxy_broad_taxonomy_rule_rows,active_host_proxy_rule_ids,vector_feature_rows,vector_bucket_primary_rows,vector_bucket_bridge_rows,vector_bucket_enzootic_or_sylvatic_rows,vector_bucket_competence_supported_rows,vector_bucket_direct_association_rows,vector_bucket_unknown_rows,vector_role_needs_review_rows,vector_primary_needs_review_rows,vector_bridge_needs_review_rows,vector_sylvatic_needs_review_rows,vector_source_role_hint_rows,vector_reviewed_assignment_rows,vector_taxonomy_caution_rows,vector_competence_or_transmission_supported_rows,tiered_species_rows,tiered_repo_host_rows,tiered_repo_vector_rows,tiered_delivery_host_rows,tiered_delivery_vector_rows,tiered_no_spatial_layer_rows,tiered_host_taxonomy_blank_rows,host_role_evidence_rows,host_role_assignment_rows,host_role_evidence_needs_review_rows,host_role_assignment_needs_review_rows,host_evidence_without_assignment_rows,host_assignment_without_evidence_rows,vector_role_evidence_rows,vector_role_assignment_rows,vector_role_evidence_needs_review_rows,vector_role_assignment_needs_review_rows,vector_evidence_without_assignment_rows,vector_assignment_without_evidence_rows,unmatched_vector_assignment_rows,unmatched_vector_assignment_labels,host_candidate_rows,direct_vector_species_or_taxa,direct_vector_taxonomy_review_needed_rows
Ebola virus disease,11,29,evidence_assignment_integrity,evidence_assignment_mismatch,TRUE,include,broad,ready,n/a,FALSE,TRUE,TRUE,2026-06-23,done,TRUE,_curation_progress.md; ebola_virus_disease_role_review.md; sudan_virus_disease_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,optional,no,15,0,19,19,0,0,0,0,0,0,19,4,2,0,13,0,6,0,0,0,0,0,18,18,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,4,0,8,7,7,6,1,0,0,0,0,0,0,0,0,,19,0,0
Dengue,12,25,low_signal_accept_caveats,no_role_review_flags,TRUE,include,broad,ready,ready,FALSE,TRUE,TRUE,2026-06-25,done,TRUE,_curation_progress.md; dengue_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,no,yes,37,6,69,53,16,0,0,16,6,15,53,1,0,0,52,0,1,0,0,0,0,0,52,52,0,,0,0,0,,16,1,2,3,4,6,0,6,0,2,3,0,7,0,3,69,53,16,0,0,26,0,1,1,0,0,0,0,7,7,6,6,0,0,0,,53,16,0
Hantavirus pulmonary syndrome,13,9,low_signal_accept_caveats,no_role_review_flags,TRUE,include,bounded,ready,n/a,FALSE,TRUE,TRUE,2026-06-22,done,TRUE,hantavirus_pulmonary_syndrome_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,23,0,28,28,0,0,0,0,0,0,28,9,0,1,18,0,10,0,0,0,0,0,26,26,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,5,0,10,10,8,8,0,0,0,0,0,0,0,0,0,,28,0,0
Nipah virus disease,14,6,low_signal_accept_caveats,no_role_review_flags,TRUE,include,bounded,ready,n/a,FALSE,TRUE,TRUE,2026-06-23,done,TRUE,_curation_progress.md; nipah_virus_disease_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,23,0,34,34,0,1,0,0,0,0,34,6,0,0,28,0,5,1,0,0,0,0,33,33,1,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,9,1,7,7,6,6,0,0,0,0,0,0,0,0,0,,34,0,0
Hepatitis E,15,5,low_signal_accept_caveats,no_role_review_flags,TRUE,include,bounded,ready,n/a,FALSE,TRUE,TRUE,2026-06-22,done,TRUE,hepatitis_e_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,optional,no,53,0,74,74,0,0,0,0,0,0,74,5,5,1,63,0,11,0,0,0,0,0,72,72,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,0,0,0,15,0,11,11,9,9,0,0,0,0,0,0,0,0,0,,74,0,0
Lassa fever,16,5,low_signal_accept_caveats,no_role_review_flags,TRUE,include,broad,ready,n/a,FALSE,TRUE,TRUE,2026-06-23,done,TRUE,_curation_progress.md; lassa_fever_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,15,0,21,21,0,1,0,0,0,0,21,5,0,0,16,0,4,1,0,0,0,0,20,20,1,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,6,1,5,5,4,4,0,0,0,0,0,0,0,0,0,,21,0,0
Hendra,17,4,low_signal_accept_caveats,no_role_review_flags,TRUE,include,broad,ready,n/a,FALSE,TRUE,TRUE,2026-06-18,done,TRUE,hendra_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,7,0,15,15,0,0,0,0,0,0,15,4,0,2,9,0,6,0,0,0,0,0,12,12,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,8,0,6,6,3,3,0,0,0,0,0,0,0,0,0,,15,0,0
Argentine hemorrhagic fever,18,2,low_signal_accept_caveats,no_role_review_flags,TRUE,include,broad,ready,n/a,FALSE,TRUE,TRUE,2026-06-23,done,TRUE,_curation_progress.md; argentine_hemorrhagic_fever_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,4,0,10,10,0,1,0,0,0,0,10,2,0,1,7,0,2,1,0,0,0,0,8,8,1,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,6,1,3,3,1,1,0,0,0,0,0,0,0,0,0,,10,0,0
Hemorrhagic fever with renal syndrome (Hantaan virus),19,2,low_signal_accept_caveats,no_role_review_flags,TRUE,include,bounded,ready,n/a,FALSE,TRUE,TRUE,2026-06-22,done,TRUE,_curation_progress.md; hfrs_hantaan_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,19,0,30,30,0,2,0,0,0,0,30,2,0,1,27,0,2,1,0,0,0,0,28,28,2,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,11,2,3,3,1,1,0,0,0,0,0,0,0,0,0,,30,0,0
Marburg virus disease,20,2,low_signal_accept_caveats,no_role_review_flags,TRUE,include,broad,ready,n/a,FALSE,TRUE,TRUE,2026-06-22,done,TRUE,_curation_progress.md; marburg_virus_disease_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,8,0,12,12,0,0,0,0,0,0,12,2,0,1,9,0,3,0,0,0,0,0,10,10,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,4,0,3,3,1,1,0,0,0,0,0,0,0,0,0,,12,0,0
